word tf idf tf-idf
ñòàðîå 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
прививка 0.0002699367576739164 1.7442929831226763 0.00047084879229749866
поэтому 0.00046274872744099955 1.7442929831226763 0.0008071693582242834
кошка 0.021942002159494062 1.2002249387724007 0.026335338198422643
мочь 0.0024101496220885394 1.2671717284030137 0.003054073462331805
любимый 0.0003759833410458121 1.7442929831226763 0.0006558251035572302
артист 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
замечать 0.00010604658337189573 1.568201724066995 0.0001663024348752212
il 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
жалобка 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
поставлять 8.676538639518741e-05 1.443262987458695 0.0001252252707767262
rss 0.00012532778034860404 2.0453229787866576 0.00025633578902732677
вывих 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
жмв 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
óñòðàèâàéòåñü 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
складываться 4.820299244177078e-05 2.0453229787866576 9.859068808743336e-05
бить 4.820299244177078e-05 2.0453229787866576 9.859068808743336e-05
бруно 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
íå 0.0009544192503470615 1.7442929831226763 0.0016647868013375843
спящий 2.8921795465062472e-05 1.568201724066995 4.5355209511423966e-05
высокий 0.00024101496220885391 1.7442929831226763 0.0004204007074084809
питомец 0.002680086379762456 1.0453229787866574 0.002801555877898839
03 0.0017931513188338731 2.0453229787866576 0.003667573596852521
plan 8.676538639518741e-05 1.7442929831226763 0.00015134425466705313
флэшмоб 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
казань 4.820299244177078e-05 2.0453229787866576 9.859068808743336e-05
развлекаться 1.9281196976708315e-05 2.0453229787866576 3.943627523497335e-05
жевательный 2.8921795465062472e-05 2.0453229787866576 5.915441285246002e-05
продукт 0.000183171371278729 2.0453229787866576 0.0003746446147322468
кусаться 5.7843590930124944e-05 1.7442929831226763 0.00010089616977803543
купание 0.00015424957581366652 2.0453229787866576 0.0003154902018797868
икать 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
зміцнити 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
мебель 0.00014460897732531235 2.0453229787866576 0.0002957720642623001
bankah 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
johan 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
ser 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
àñ 2.8921795465062472e-05 1.7442929831226763 5.044808488901771e-05
совет 0.00048202992441770783 2.0453229787866576 0.0009859068808743337
сухой 0.0004723893259293537 2.0453229787866576 0.000966188743256847
особь 6.74841894184791e-05 1.7442929831226763 0.00011771219807437467
экология 7.712478790683326e-05 1.568201724066995 0.00012094722536379724
конверт 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
ао 1.9281196976708315e-05 1.7442929831226763 3.363205659267847e-05
åé 6.74841894184791e-05 1.7442929831226763 0.00011771219807437467
курьяново 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
сочувствовать 9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
инфекция 9.640598488354157e-05 1.7442929831226763 0.00016816028296339237
объявление 0.0014268085762764152 0.443262987458695 0.0006324514320519712
бездомный 0.0005398735153478328 1.443262987458695 0.0007791794626107409
 |  9.640598488354157e-06 2.0453229787866576 1.9718137617486674e-05
животное 0.006844824926731451 1.3463529744506386 0.009215550399698765
мальтийский 3.856239395341663e-05 1.7442929831226763 6.726411318535695e-05
20 0.0010893876291840198 1.0453229787866574 0.001138761921591974
разный 0.0005302329168594786 1.7442929831226763 0.000924881556298658
некоторый 0.0002988585531389789 2.0453229787866576 0.0006112622661420869
защищать 0.0002506555606972081 2.0453229787866576 0.0005126715780546535
